UK-AQ v2 integrity: recommended verification and repair order,,,,,,,
,,,,,,,
Order,Main task,Condition found,Authoritative verification source,What runs,Verification after repair,Next task,Why this order
1A,Observs,Observations match the upstream source,"Upstream source data + v2 core mappings, compared with v2 observation parquet",No observation repair,None needed,Metadata: manifests then indexes,Healthy observation data is not rewritten.
1B,Observs,"Observation parquet is missing, invalid, or incomplete and authoritative source data is available",Upstream source data + v2 core mappings,Run one scoped v2 observation backfill for the affected connector/day/timeseries set,Re-read the final v2 observation parquet and compare it with the source,Metadata: manifests then indexes,"Observation data is repaired first, so metadata is built only once from the final parquet."
1C,Observs,Source data or mapping is unavailable or unsafe,Source adapter evidence + v2 core mapping tables,Do not repair this scope; report operator action,Not applicable,Stop this scope; continue unrelated scopes,Prevents manifests or AQI being built from uncertain observation data.
2A,Metadata: manifests + indexes,Observation parquet is verified and manifests are healthy,Final verified observation parquet + existing live child manifests,Do not rebuild manifests; verify indexes,Validate manifest hierarchy before using it as the index source,Index verification within the same metadata task,"Manifests and indexes are one high-level task, but manifests always come first."
2B,Metadata: manifests + indexes,"Pollutant, connector, or day manifest is missing, stale, or incomplete",Final verified observation parquet + all valid sibling manifests in R2,Rebuild manifests bottom-up: pollutant → connector → day,Freshly read and validate every changed manifest,Rebuild or verify indexes,Parents are produced once after all observation and child-manifest work is complete.
2C,Metadata: manifests + indexes,Manifest hierarchy is valid but index/latest/metadata is missing or stale,Final verified day manifests and current index objects,Rebuild only the affected observation index/latest/metadata objects,Freshly read and validate every changed index object,Aqilevels,Indexes are built once from the final manifest hierarchy.
2D,Metadata: manifests + indexes,Manifest repair or verification fails,Live R2 child set and exact child hashes,Block index repair and block aqilevel repair for this scope,Record exact failed object or dependency,Stop this scope; continue unrelated scopes,Prevents indexes and AQI work being based on unverified observation metadata.
3A,Aqilevels,All expected AQI UTC hours already exist for eligible pollutants,"Final verified v2 observation parquet, v2 core pollutant mapping, and v2 aqilevel parquet/manifests",No AQI repair,None needed,Final verification,AQI is checked only after observation data and metadata have reached their final state.
3B,Aqilevels,Expected AQI UTC hours are missing or AQI output/metadata is invalid,Final verified observations grouped by timeseries and UTC hour,Run one scoped v2 aqilevel rebuild for the affected connector/day,Re-read AQI parquet/manifests and verify the expected UTC-hour identities,Final verification,One AQI rebuild covers all affected eligible hours after observation repairs are complete.
3C,Aqilevels,"Pollutant is not AQI eligible, such as O3",v2 core pollutant mapping,Skip aqilevel repair,None needed,Final verification,Unsupported pollutants never enter the AQI repair workflow.
3D,Aqilevels,Observs or metadata are not verified,Results of stages 1 and 2,Block aqilevel repair for that scope,Not applicable,Stop this scope; continue unrelated scopes,Avoids rebuilding AQI from incomplete observations or broken manifests.
4A,Final verification,All selected repairs have completed,"Run integrity again against observs, manifests, indexes, and aqilevels",No further repair in the same run,Confirm all four areas are healthy,Finish,One final pass proves the complete ordered result without creating a repair loop.
4B,Final verification,Any issue remains after the final pass,Final integrity report,Report the remaining scope and fail the run,No automatic second repair loop,Investigate or retry in a later run,Prevents repeated writes when the real cause has not been resolved.
