Sequence,Stage,Task,Condition / branch,What integrity should do,Component / command,Writes history data?,Run once per,Depends on,Next on success,On failure / blocked,How this avoids repeated work,Current implementation status,Notes / decision to confirm
0.1,Preflight,Validate history version,history-version is v1 or both,"Reject before importing core, scanning sources, or planning repairs.",CLI/parser,No,Run,None,Stop,Exit non-zero,Prevents unsupported branches from doing any work.,Existing,Current system should remain v2-only.
0.2,Preflight,Determine run mode,--check-only and no --run-backfill,"Run the complete integrity scan and produce findings, but do not execute any repair.",Integrity entrypoint,No,Run,Valid v2 arguments,Core import,Stop on invalid configuration,Uses the same detection pass without starting a second workflow.,Existing,Read-only mode must remain available.
0.3,Preflight,Determine run mode,--run-backfill requested,"Enable the v2 repair sequence for observations, manifests/indexes, and aqilevels.",Integrity entrypoint,"Yes, later stages",Run,Valid v2 arguments,Write-gate checks,Reject before work,One flag controls one ordered repair pass rather than separate manual repair runs.,Currently disabled; needs reconnection,This should be restored for v2 only.
0.4,Preflight,Validate repair environment,Repair requested and environment is not an approved target,Reject before invoking any writer.,Preflight/write gate,No,Run,--run-backfill,Stop,Exit non-zero,Avoids partially running checks before discovering that writes are forbidden.,Needs confirmation,Decide whether LIVE remains disabled or gets a separate explicit gate.
0.5,Preflight,Validate v2 core path,Core root is missing or not history/v2/core,Stop before source scans and report the configuration error.,Core snapshot resolver/preflight,No,Run,Valid environment,Stop,Exit non-zero,Prevents later work using the wrong station/timeseries mappings.,Existing,Expected root: R2_history_backup/history/v2/core.
0.6,Preflight,Validate repair dependencies,"Repair mode requested but required wrapper, env, bucket, or credentials are missing",Stop before scans or writers.,Preflight,No,Run,Repair mode,Core import,Exit non-zero,Avoids doing an expensive scan that cannot be followed by the requested repair.,Partly existing,"List the exact required settings for observ, manifest/index, and aqilevel repair."
1.1,Core,Import v2 core snapshot,Latest snapshot hash is new,Validate the v2 core manifest and import required core tables into the integrity database.,Core snapshot importer,Local DB only,Snapshot hash,Preflight passed,Source scan,Stop,Imports once and reuses the result for all later stages.,Existing,"Required tables include connectors, stations, timeseries, phenomena, and mappings."
1.2,Core,Reuse v2 core snapshot,Latest snapshot hash matches the last successful import,Reuse the existing imported core tables.,Core snapshot importer,No,Snapshot hash,Preflight passed,Source scan,Stop if existing import is invalid,Avoids repeatedly importing identical core parquet files.,Existing,
1.3,Core,Reject invalid core snapshot,"Manifest, key, hash, row count, or required table is invalid",Do not scan or repair history.,Core snapshot importer,No,Snapshot,Preflight passed,Stop,Exit non-zero,Prevents all later work from being based on incomplete mappings.,Existing,
2.1,Source evidence,Check upstream source file,Source metadata and content are unchanged,Record unchanged state and reuse stored source row/hour evidence.,OpenAQ / Sensor.Community / SOS adapters,Local DB/cache only,Source file,Core import,Next source file,Record adapter error if check failed,Avoids re-downloading and re-counting unchanged source files.,Existing,
2.2,Source evidence,Download upstream source file,"File is new, changed, or reappeared","Download, hash, cache, and derive source observation evidence.",Source adapters,Local cache/DB only,Source file,Core import,Observation comparison,Record failure and block affected scope,"Processes each changed source file once, then shares its evidence across repair decisions.",Existing,
2.3,Source evidence,Handle missing upstream file,Expected source file is not available,Record the missing source evidence and do not attempt an observation backfill for that scope.,Source adapters,Local DB only,Source file,Core import,Observation comparison/report,Report source unavailable,Prevents repeated failed backfill attempts with no source data.,Existing,
2.4,Source evidence,Resolve source rows to v2 timeseries,Source station/pollutant mapping exists,Create or reuse source-to-timeseries row/hour evidence.,Core lookup + source adapter,Local DB only,Source file/timeseries,Core import,Observation comparison,Operator action if mapping fails,Resolves mappings once before any repair is selected.,Existing,
2.5,Source evidence,Mapping/operator issue,Source row cannot be mapped safely to a v2 timeseries,"Report operator action; do not run observ, manifest/index, or aqilevel repair for that affected scope.",Integrity planner,No,Affected scope,Source evidence,Continue unrelated scopes,Mark affected scope blocked,Avoids repeatedly repairing data built from an uncertain mapping.,Existing,Must remain non-automatic.
