Virtual folder,What it contains,Where it is used
history/v1/observations/,"Historical observation parquet data, partitioned by UTC day and connector. Contains day manifests, connector manifests, and part-xxxxx.parquet files.",Read by the Observs History R2 API Worker for old timeseries data. Also used by backfill modes that rebuild AQI from observation history.
history/v1/observations/day_utc=YYYY-MM-DD/,"One committed UTC day of observations. Has a day-level manifest.json, connector subfolders, and parquet files.",This is the main backup unit copied to Dropbox. Readers treat the day manifest as the source of truth for a complete committed day.  
history/v1/observations/day_utc=YYYY-MM-DD/connector_id=N/,Observation parquet parts and connector-level manifest.json for one connector on one UTC day.,Used by R2 readers and by the timeseries index builder/reader to know which files contain which timeseries ranges.
history/v1/aqilevels/hourly/,"Historical AQI-level parquet data, also partitioned by UTC day and connector.","Used for AQI history, retention checks, and backup. Backfill can rewrite AQI from observations history.  "
history/v1/aqilevels/hourly/day_utc=YYYY-MM-DD/,"One committed UTC day of AQI data. Has day manifest, connector manifests, and parquet parts.",AQI retention checks look for committed day manifests here before deleting old local AQI data. Dropbox backup mirrors this layout.  
history/v1/core/,Daily core snapshots: metadata/reference tables as compressed NDJSON plus checksums and manifest.,"Used for restoring/reconciling historical context, e.g. mapping Sensor.Community archive rows using local core snapshots.  "
history/v1/core/day_utc=YYYY-MM-DD/,"One daily core snapshot. Contains manifest.json, checksums.sha256, and table=/rows.ndjson.gz.","Copied by the same backup script as a third domain, although your recent run copied 0 core days."
history/_index/,Derived index objects. Includes latest summary manifests and timeseries file-range index trees.,Used for fast listing/history-days paths and to reduce R2 reader work by narrowing parquet scans. The Dropbox backup mirrors these too.
history/_index/observations_latest.json,Latest summary/index manifest for observation history.,Copied by hash comparison in the backup script. Used by dashboard/history-days style readers.  
history/_index/aqilevels_latest.json,Latest summary/index manifest for AQI history.,"Same as above, but for AQI.  "
history/_index/observations_timeseries_latest.json,Descriptor for the observations timeseries file-range index.,Used to know coverage and locate per-day/per-connector timeseries index manifests.  
history/_index/observations_timeseries/day_utc=YYYY-MM-DD/connector_id=N/manifest.json,Lightweight file-range index for one observation day+connector. Lists parquet files and their timeseries_id/time ranges.,The Observs History R2 API Worker can use this to avoid scanning irrelevant parquet files.
history/_index/aqilevels_timeseries_latest.json,Descriptor for the AQI timeseries file-range index.,Copied by backup and used for AQI history acceleration.  
history/_index/aqilevels_timeseries/day_utc=YYYY-MM-DD/connector_id=N/manifest.json,Lightweight file-range index for one AQI day+connector. Includes file ranges and pollutant availability.,Used to narrow AQI parquet reads.  
history/v1/_ops/observations/runs/,Operational run manifests from Phase B export runs.,Audit/ops trail; not the main public committed history.  
history/v1/_ops/observations/staging/,Legacy/operational staging objects.,Cleanup/drainage only; current observation export writes committed parts directly.  
Dropbox _ops/checkpoints/r2_history_backup_state_v1.json,"Backup checkpoint state stored in Dropbox, not R2 History itself. Tracks copied day manifest hashes.","Used by sync_history_to_dropbox.mjs to decide whether a day is new, unchanged, or changed.  "
