Virtual folder,What it contains,Where it is used
history/v2/observations/,"Historical observation parquet data, partitioned by UTC day, connector, and pollutant. Contains pollutant-level manifests and part-xxxxx.parquet files.","Read by v2 observation history APIs, integrity checks, and AQI rebuild/backfill workflows that derive AQI from observation history."
history/v2/observations/day_utc=YYYY-MM-DD/,One UTC day of v2 observations. Contains connector_id=N subfolders and usually a day/connector/pollutant manifest structure below it.,Main committed day partition grouping for local/R2 history. Used when scanning a day across connectors and pollutants.
history/v2/observations/day_utc=YYYY-MM-DD/connector_id=N/,"All v2 observation data for one connector on one UTC day, split into pollutant_code=<pollutant>/ subfolders.","Used to isolate one source connector during diagnostics, rebuilds, and integrity checks."
history/v2/observations/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/,"Observation parquet files and manifest.json for one day, connector, and pollutant. Typical columns include connector_id, station_id, timeseries_id, pollutant_code, observed_at_utc, value.","Primary v2 observation data partition read by history APIs and by v2 AQI rebuild workflows. The manifest is used for row counts, file ranges, and backup/integrity checks."
history/v2/observations/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/manifest.json,"Pollutant partition manifest for v2 observations. May include schema_version, generated_at, source_row_count or row_count, file_count, file list, timeseries/time ranges, and hashes/ETags.","Used by backup, integrity, and index-build logic to decide whether the partition is complete and which parquet files should exist."
history/v2/observations/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/part-xxxxx.parquet,Actual v2 observation rows for the partition.,"Read by history APIs, DuckDB diagnostics, AQI rebuilds, and integrity checks."
history/v2/aqilevels/hourly/data/,"Historical hourly AQI-level parquet data, partitioned by UTC day, connector, and pollutant under the data profile.","Read by v2 AQI history APIs, station snapshots, integrity checks, and website/chart backends where they need AQI bands/levels."
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/,One UTC day of v2 hourly AQI data. Contains connector_id=N subfolders.,Main committed day partition grouping for hourly AQI data.
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/connector_id=N/,"All v2 hourly AQI data for one connector on one UTC day, split into pollutant_code=<pollutant>/ subfolders.","Used by connector-scoped AQI diagnostics, rebuilds, backups, and API reads."
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/,"AQI hourly parquet files and manifest.json for one day, connector, and pollutant. Typical columns include connector_id, station_id, timeseries_id, pollutant_code, timestamp_hour_utc, daqi_index_level, eaqi_index_level, calculation status/missing reason fields, and day_utc.","Primary v2 AQI data partition. Used by AQI history APIs, station snapshots, website band charts, and local diagnostics."
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/manifest.json,"Pollutant partition manifest for v2 hourly AQI data. Includes row counts, file_count, referenced parquet file list, timeseries ranges, timestamp ranges, hashes/ETags, and backup metadata.","Used by backup, integrity, index generation, and diagnostics to prove which AQI files exist and whether the partition is complete."
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/part-xxxxx.parquet,"Actual hourly AQI rows for the partition, including DAQI/EAQI levels and calculation statuses.","Read by AQI history APIs, station snapshots, website charts, DuckDB diagnostics, and integrity checks."
history/_index_v2/,Derived v2 index objects. Separate from history/v2 data partitions. These indexes are manifest-based file-range indexes rather than standalone per-timeseries parquet tables in the current layout.,Used by API/history readers to avoid scanning irrelevant day-partition parquet files. The Dropbox backup should mirror these objects.
history/_index_v2/observations_timeseries_latest.json,Latest descriptor/summary object for the v2 observation timeseries file-range index.,Used by readers and backup logic to find the current observation index coverage and detect changes.
history/_index_v2/aqilevels_hourly_data_timeseries_latest.json,Latest descriptor/summary object for the v2 hourly AQI data timeseries file-range index.,Used by AQI history readers and backup logic to find current AQI index coverage and detect changes.
history/_index_v2/observations_timeseries/,"Manifest-based file-range index tree for v2 observations, partitioned by day, connector, and pollutant.",Used to narrow observation parquet scans by timeseries_id/time range.
history/_index_v2/observations_timeseries/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/manifest.json,"Observation timeseries index manifest for one day, connector, and pollutant. Current layout points back to data parquet files via files[].key and includes index_kind=timeseries_file_ranges, index_coverage, indexed_file_count, source_row_count, min/max timeseries_id, min/max observed_at_utc, and file ranges.",API/history readers use this to decide which observation parquet file(s) may contain a requested timeseries. Diagnostics should treat the manifest itself as the index object.
history/_index_v2/aqilevels_hourly_data_timeseries/,"Manifest-based file-range index tree for v2 hourly AQI data, partitioned by day, connector, and pollutant.",Used to narrow AQI parquet scans by timeseries_id/time range.
history/_index_v2/aqilevels_hourly_data_timeseries/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/manifest.json,"AQI timeseries index manifest for one day, connector, and pollutant. Current layout points back to data parquet files via files[].key and includes index_kind=timeseries_file_ranges, index_coverage, indexed_file_count, source_row_count, min/max timeseries_id, min/max timestamp_hour_utc, and file ranges.",API/history readers use this to decide which AQI parquet file(s) may contain a requested timeseries. Diagnostics should not expect separate parquet files inside the _index_v2 folder unless the layout changes.
history/v2/_ops/,"Optional operational/audit objects for v2 history jobs, if present. May contain run manifests, staging, or checkpoint-like artefacts depending on the exporter/backfill workflow.",Useful for audit and debugging. Not normally the public committed history path used by API readers.
history/v2/_ops/observations/runs/,"Operational run manifests for v2 observation export/backfill runs, if present.",Audit trail for export/backfill activity; not the main data-read path.
history/v2/_ops/aqilevels/hourly/data/runs/,"Operational run manifests for v2 hourly AQI export/backfill runs, if present.",Audit trail for AQI rebuild/export activity; not the main data-read path.
Dropbox _ops/checkpoints/r2_history_backup_state_v2.json,"Local Dropbox backup checkpoint state for v2 history, if configured. Tracks copied manifest hashes/keys and helps avoid unnecessary re-copying.",Used by local backup/sync scripts only. This is not part of the live R2 history namespace.
Local Dropbox R2 backup root,"Local mirror of the live R2 bucket, for example /Users/mikehinford/Dropbox/Apps/github-uk-air-quality-networks/CIC-Test/R2_history_backup.",Used for local-only diagnostics. Results are valid only when this backup is fully up to date with live R2.
