Order,High-level task,R2 item,Condition,Normal verification input,Normal R2 read location,What is compared,Repair input,Repair action,Repair write target,Immediate post-repair verification,Next step,Important note
1A,Observs,observs,Source observations and backed-up v2 observation parquet agree,Newly downloaded or previously cached upstream files in UK_AQ_HISTORY_INTEGRITY_SOURCE_CACHE_DIR,Local Dropbox mirror: R2_history_backup/history/v2/observations,"Source-cache observations, mapped through v2 core, versus observation parquet in the Dropbox backup",None,No repair,None,None,Verify manifests,The source-cache files are the authoritative source evidence for observation completeness.
1B,Observs,observs,"v2 observation parquet is missing, invalid, or incomplete, and authoritative source data is available",Newly downloaded or previously cached upstream files in UK_AQ_HISTORY_INTEGRITY_SOURCE_CACHE_DIR,Local Dropbox mirror: R2_history_backup/history/v2/observations,"Source-cache observations, mapped through v2 core, versus observation parquet in the Dropbox backup",The same source-cache files and v2 core mappings,"Run one scoped v2 observation backfill for the affected connector, day, and timeseries set","Cloudflare R2 History, CIC-Test bucket: uk-aq-history-cic-test",Read the repaired observation parquet directly from Cloudflare R2 History and compare it with source-cache evidence,Verify or rebuild manifests from the final repaired observs,Do not wait for the Dropbox backup to refresh before immediate repair verification.
1C,Observs,observs,Required source file or safe v2 mapping is unavailable,Source adapter result and v2 core mapping tables,Local Dropbox mirror may still be read for reporting,Available source evidence versus backed-up observation data,None,Do not repair this scope; report operator action,None,None,Stop this scope; continue unrelated scopes,Do not build manifests or aqilevels from observation data that cannot be verified.
2A,Metadata,manifests,"Pollutant, connector, and day manifests are complete and consistent",Verified final observation parquet plus existing child manifests,Normal check: local Dropbox mirror under R2_history_backup/history/v2/observations,"Manifest child keys, hashes, counts, and hierarchy references versus the verified observation parquet and sibling manifests",None,No manifest repair,None,None,Verify indexes,"Manifests and indexes are one high-level Metadata task, but manifests are always checked first."
2B,Metadata,manifests,"A pollutant, connector, or day manifest is missing, stale, incomplete, or inconsistent",Verified final observation parquet and the complete sibling-manifest set,Normal check: local Dropbox mirror; during a repair run use current Cloudflare R2 children,Parquet-derived pollutant evidence and complete child manifests versus each parent manifest,Final verified observation parquet and all valid sibling manifests,"Rebuild bottom-up: pollutant manifest, then connector manifest, then day manifest","Cloudflare R2 History, CIC-Test bucket: uk-aq-history-cic-test","Freshly read every changed manifest directly from Cloudflare R2 History and validate exact body, hash, and hierarchy",Verify or rebuild indexes,"Build manifests only after observ repair is complete, so they are written once from the final data."
2C,Metadata,indexes,"Observation index, latest, and metadata objects correctly represent the final day manifests",Verified final day manifests and existing index objects,Normal check: local Dropbox mirror under R2_history_backup; repair validation: Cloudflare R2 History,"Final day-manifest keys and metadata versus index, latest, and timeseries metadata objects",None,No index repair,None,None,Verify aqilevels,Indexes are checked after manifests because indexes depend on the final manifest hierarchy.
2D,Metadata,indexes,"Index, latest, or metadata objects are missing, stale, or inconsistent",Verified final day manifests,Normal check: local Dropbox mirror; during repair use current Cloudflare R2 manifests,Final verified day-manifest set versus the existing index/latest/metadata objects,Final verified manifest hierarchy,"Rebuild only the affected observation index, latest, and metadata objects","Cloudflare R2 History, CIC-Test bucket: uk-aq-history-cic-test",Freshly read every changed index object directly from Cloudflare R2 History and validate its exact content,Verify aqilevels,Do not rebuild indexes before all manifest changes for the day are complete.
2E,Metadata,manifests + indexes,Manifest repair or verification fails,Current Cloudflare R2 child keys and exact object bodies,Cloudflare R2 History,Expected complete child set versus the actual live child set,None,Block dependent index and aqilevel repair for this scope,None,Record the exact failed dependency,Stop this scope; continue unrelated scopes,Aqilevels must not be rebuilt from an unverified observation hierarchy.
3A,Aqilevels,aqilevels,Every expected AQI UTC hour exists for eligible pollutants,"Final verified observation parquet, grouped by timeseries and UTC hour, plus v2 core AQI eligibility",Normal check: local Dropbox mirror under R2_history_backup/history/v2/aqilevels,Expected eligible UTC-hour identities from observs versus actual aqilevel UTC-hour identities,None,No aqilevel repair,None,None,Run final verification,Do not compare raw observation-row counts with AQI-row counts.
3B,Aqilevels,aqilevels,"Expected AQI UTC hours are missing, or aqilevel parquet/manifests are invalid",Final verified observation parquet and v2 core AQI eligibility,Normal check: local Dropbox mirror under R2_history_backup/history/v2/aqilevels,Expected eligible UTC-hour identities versus actual aqilevel UTC-hour identities and AQI metadata,Final verified observs after manifest/index verification,Run one scoped v2 aqilevel rebuild for the affected connector and day,"Cloudflare R2 History, CIC-Test bucket: uk-aq-history-cic-test",Read repaired aqilevel parquet and metadata directly from Cloudflare R2 History and verify all expected UTC hours,Run final verification,"Run aqilevel repair only after observs, manifests, and indexes are verified."
3C,Aqilevels,aqilevels,"Pollutant is not AQI eligible, for example O3",v2 core observed-property mapping,No aqilevel comparison required for that pollutant,Pollutant eligibility only,None,Skip aqilevel repair,None,None,Run final verification,"O3 may need observ or metadata repair, but not aqilevel repair."
4A,Final verification,all four items,All selected repairs have finished,"Source-cache for observs; current Cloudflare R2 objects for repaired observs, manifests, indexes, and aqilevels","Immediate post-repair check must use Cloudflare R2 History, not a potentially stale Dropbox backup",Source evidence and final live Cloudflare R2 state across all four items,None,Run one final integrity verification pass; do not start a second repair loop automatically,None,"Confirm observs, manifests, indexes, and aqilevels are all healthy",Finish,The Dropbox mirror can be checked again after its next successful backup refresh.
4B,Final verification,all four items,Any issue remains after the final pass,Final live verification evidence and integrity report,Cloudflare R2 History for repaired scopes; source-cache for observation truth,Expected final state versus actual final state,None,Fail the run and report the exact remaining scope,None,No automatic second write pass,Investigate or retry in a later run,Avoid repeated writes when the underlying cause has not been resolved.
