Virtual folder,What it contains,Where it is used
history/v2/observations/,"Historical observation parquet data, partitioned by UTC day, connector, and pollutant. Contains pollutant-level manifests and part-xxxxx.parquet files. Default eligible pollutant/property codes include pm25, pm10, no2, and source-provided DAQI/index observations pm25index, pm10index, no2index; do not treat source-provided DAQI/index observation rows as disposable derived noise.","Read by v2 observation history APIs, integrity checks, and AQI rebuild/backfill workflows that derive AQI from observation history. Source-provided DAQI/index observations are retained here for later comparison against UK AQ calculated DAQI/AQI outputs, which live separately under aqilevels history."
history/v2/observations/day_utc=YYYY-MM-DD/,One UTC day of v2 observations. Contains connector_id=N subfolders and usually a day/connector/pollutant manifest structure below it.,Main committed day partition grouping for local/R2 history. Used when scanning a day across connectors and pollutants.
history/v2/observations/day_utc=YYYY-MM-DD/connector_id=N/,"All v2 observation data for one connector on one UTC day, split into pollutant_code=<pollutant>/ subfolders.","Used to isolate one source connector during diagnostics, rebuilds, and integrity checks."
history/v2/observations/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/,"Observation parquet files and manifest.json for one day, connector, and pollutant. Typical columns include connector_id, station_id, timeseries_id, pollutant_code, observed_at_utc, value.","Primary v2 observation data partition read by history APIs and by v2 AQI rebuild workflows. The manifest is used for row counts, file ranges, and backup/integrity checks."
history/v2/observations/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/manifest.json,"Pollutant partition manifest for v2 observations. May include schema_version, generated_at, source_row_count or row_count, file_count, file list, timeseries/time ranges, and hashes/ETags.","Used by backup, integrity, and index-build logic to decide whether the partition is complete and which parquet files should exist."
history/v2/observations/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/part-xxxxx.parquet,Actual v2 observation rows for the partition.,"Read by history APIs, DuckDB diagnostics, AQI rebuilds, and integrity checks."
history/v2/aqilevels/hourly/data/,"Historical hourly AQI-level parquet data, partitioned by UTC day, connector, and pollutant under the data profile.","Read by v2 AQI history APIs, station snapshots, integrity checks, and website/chart backends where they need AQI bands/levels."
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/,One UTC day of v2 hourly AQI data. Contains connector_id=N subfolders.,Main committed day partition grouping for hourly AQI data.
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/connector_id=N/,"All v2 hourly AQI data for one connector on one UTC day, split into pollutant_code=<pollutant>/ subfolders.","Used by connector-scoped AQI diagnostics, rebuilds, backups, and API reads."
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/,"AQI hourly parquet files and manifest.json for one day, connector, and pollutant. Typical columns include connector_id, station_id, timeseries_id, pollutant_code, timestamp_hour_utc, daqi_index_level, eaqi_index_level, calculation status/missing reason fields, and day_utc.","Primary v2 AQI data partition. Used by AQI history APIs, station snapshots, website band charts, and local diagnostics."
